customerId,sex,customerLevel,education,webCastRecord.totallen,webCastRecord.totaltimes,watchRecord.totallen,watchRecord.totaltimes,examrecordsub.totalTimes,order.totalPay,order.AvgPay,order.totalTimes,areaClickWebTotalTimes,chanceSource,crmcommunication.totalLen,crmcommunication.totalTimes,customerloginlog.totaltimes,callThinkLog.totalLen.total,callThinkLog.totalTimes,crmbespeak.totalTimes,order.hasOrder
2502897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,18,0,0
2502899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0
2502949,0,1,0,119,1,0,0,0,0,0,0,0,0,0,0,1,1169,8,0,0
2503039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,837,16,0,0
2503075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,10,0,0
2503149,0,0,0,5360,9,0,0,0,1480,0,1,1,0,0,0,4,1028,12,0,1
2503177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,11,0,0
2503243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,401,6,0,0
2503253,0,0,0,289,1,0,0,0,0,0,0,0,0,0,0,1,124,7,0,0
2503257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,177,11,0,0
2503293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1341,6,0,0
2503327,0,0,0,1088,6,0,0,0,0,0,0,0,0,0,0,2,27,11,0,0
2503357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,0,0
2503385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7,0,0
2503409,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,104,253,10,0,0
2503411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,132,9,0,0
2503419,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,59,11,0,0
2503441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176,7,0,0
2503645,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,5,6,0,0
2503649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,21,0,0
2503667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,195,5,0,0
2503711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,22,0,0
2503751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,820,7,0,0
2503789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2614,22,0,0
2503833,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,217,5,0,0
2504061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,886,14,0,0
2504085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,770,7,0,0